freq	total_cov	major_cov	minor_cov
0.124893188	61	52	9
0.0800614357	50	46	4
0.0801577568	50	46	4
0.0797333717	50	46	4
0.0713648796	56	52	4
0.0689249039	58	54	4
0.0688872337	58	54	4
0.0868439674	46	42	4
0.0866465569	46	42	4
0.0868420601	46	42	4
0.0850291252	47	43	4
0.0767903328	52	48	4
0.223958015	32	24	7
0.0805883408	62	57	5
0.0844311714	59	54	5
0.0822677612	73	67	6
0.075428009	79	73	6
0.094394207	63	57	6
0.0767560005	72	66	6
0.0827822685	71	65	6
0.0808539391	74	68	6
0.0704317093	74	68	6
0.0810985565	99	86	11
0.0677552223	59	55	4
0.0654244423	61	57	4
0.0653791428	61	57	4
0.199865341	44	34	10
0.059466362	65	61	4
0.154820442	61	51	10
0.129799843	107	93	14
0.0738339424	108	100	8
0.0742516518	102	94	8
0.0790367126	101	93	8
0.0787949562	101	93	8
0.079656601	100	92	8
0.0796089172	100	92	8
0.0774407387	103	95	8
0.0973272324	82	74	8
0.113678455	79	70	9
0.118255138	76	67	9
0.129536152	62	54	8
0.120819092	44	37	6
0.0846905708	60	54	6
0.105729103	55	48	7
0.0694127083	52	48	4
0.0791625977	63	58	5
0.152793407	49	41	8
0.139332294	43	37	6
0.155250549	61	51	9
0.0891947746	67	60	6
0.0691833496	73	66	6
0.0613155365	131	122	8
0.0598173141	133	125	8
0.0960144997	83	75	8
0.0996937752	80	72	8
0.0897445679	89	81	8
0.0897307396	89	81	8
0.0930147171	86	78	8
0.102202415	78	70	8
0.108080864	74	66	8
0.106801987	75	67	8
0.11565876	69	61	8
0.11582756	69	61	8
0.118612289	69	60	8
0.126549244	63	55	8
0.119757175	50	44	6
0.119763851	50	44	6
0.110396385	50	44	6
0.133553505	47	40	6
0.127382755	47	41	6
0.264362812	27	19	7
0.251116753	28	20	7
0.171160698	35	29	6
0.171262264	35	29	6
0.25696373	35	26	9
0.0614070892	81	76	5
