freq	total_cov	major_cov	minor_cov
0.162294388	58	48	10
0.12121439	33	29	4
0.142883778	28	24	4
0.137814522	29	25	4
0.148246288	27	23	4
0.147917271	27	23	4
0.153959751	26	22	4
0.0982384682	54	48	6
0.243619919	36	26	9
0.0721554756	103	94	9
0.312010765	45	31	14
0.105221272	38	34	4
0.142791271	28	24	4
0.190379143	21	17	4
0.190443993	21	17	4
0.181750298	22	18	4
0.181752682	22	18	4
0.181746483	22	18	4
0.190398216	21	17	4
0.158987045	49	41	8
0.122623444	40	35	5
0.116075039	40	35	5
0.0893106461	56	51	5
0.0908417702	55	50	5
0.086977005	46	42	4
0.0909209251	44	40	4
0.0784187317	51	47	4
0.0802297592	50	46	4
0.120935917	32	28	4
0.397590637	33	19	13
0.130249023	48	41	6
0.161924839	37	31	6
0.0845022202	71	65	6
0.0719342232	63	58	5
0.179048538	67	55	12
0.202586651	59	47	12
0.240795612	50	37	12
0.159996033	25	21	4
0.0624089241	64	60	4
0.0850586891	47	43	4
0.146008015	70	59	10
0.0961017609	81	73	8
0.0898265839	78	70	7
0.214224815	45	32	10
0.280924797	38	27	11
0.121144295	87	69	10
0.204489231	38	29	8
0.130457878	64	51	10
0.200863838	43	34	9
0.197525024	63	50	13
0.112713337	64	55	7
0.130498409	90	74	12
0.102379322	52	44	5
0.137524128	78	64	12
0.0610423088	103	92	6
0.0957260132	64	56	6
0.105646133	60	52	6
0.103226185	68	60	7
0.146970749	67	56	10
0.079931736	94	84	10
0.0968399048	111	95	12
0.0754270554	114	103	11
0.174062729	89	71	17
0.13658905	67	53	9
0.0919494629	65	58	6
0.10415554	76	64	8
0.0734057426	159	145	14
0.141504288	77	60	10
0.0910787582	56	50	5
0.0924816132	71	60	8
0.0842971802	83	76	7
0.0795125961	88	81	7
0.0774989128	90	83	7
0.0760498047	92	85	7
0.0758833885	92	85	7
0.0645918846	62	58	4
0.104393959	67	60	7
0.102213383	39	35	4
0.0885062218	79	72	7
0.0757908821	92	85	7
0.0749769211	93	86	7
0.0748667717	93	86	7
0.0875644684	91	83	8
0.0625243187	80	75	5
0.0638065338	78	73	5
0.0757265091	66	61	5
0.0745563507	66	61	5
0.0765953064	65	60	5
0.105197906	38	34	4
0.10003233	40	36	4
0.0847454071	59	54	5
0.0892767906	56	51	5
0.0803513527	62	57	5
0.0624713898	64	60	4
0.0596728325	67	63	4
0.0595612526	67	63	4
0.0593004227	69	64	4
0.0533313751	75	71	4
0.051987648	77	73	4
0.0547628403	73	69	4
0.264648438	60	38	14
0.0881609917	68	62	6
0.0805149078	62	57	5
0.078151226	63	58	5
0.0791311264	63	58	5
0.0793399811	63	58	5
0.0942530632	53	48	5
0.0942277908	53	48	5
0.0871691704	46	41	4
0.0620512962	73	68	5
0.0657320023	76	71	5
0.0614333153	81	76	5
0.0612316132	81	76	5
0.0616869926	81	76	5
0.0606780052	82	77	5
0.0721821785	80	74	6
0.0587663651	85	80	5
0.0640654564	78	73	5
0.0657892227	76	71	5
0.0641217232	76	71	5
0.0663590431	75	70	5
0.0666127205	75	70	5
0.0571079254	70	66	4
0.0540971756	70	66	4
0.0571379662	70	66	4
0.0550179482	70	65	4
0.0669474602	73	68	5
